age,embarked,ischild,parch,pclass,sex,sibsp,survived,tarifa
29.0,s,0,0,3,male,0,0,9.4833
52.0,s,0,0,2,male,0,0,13.0
19.0,s,0,0,3,male,0,0,7.65
38.0,c,0,0,1,female,0,1,227.525
27.0,s,0,0,2,female,0,1,10.5
28.0,q,0,0,3,male,0,0,15.5
33.0,s,0,0,3,male,0,0,7.775
6.0,s,1,1,2,female,0,1,33.0
17.0,s,0,0,3,male,1,0,7.0542
34.0,s,0,0,2,male,0,0,13.0
50.0,s,0,0,2,male,0,0,13.0
27.0,s,0,0,1,male,1,1,53.1
20.0,s,0,0,3,male,0,0,8.6625
30.0,s,0,0,2,female,3,1,21.0
28.0,q,0,0,3,female,0,1,7.7375
25.0,s,0,0,2,male,1,0,26.0
25.0,s,0,0,3,female,1,0,7.925
29.0,s,0,0,1,female,0,1,211.3375
11.0,c,1,0,3,male,0,0,18.7875
28.5,s,0,0,3,male,0,0,16.1
48.0,s,0,3,3,female,1,0,34.375
35.0,c,0,0,1,male,0,1,512.3292
28.0,s,0,0,1,male,0,1,30.0
36.0,s,0,0,1,male,1,0,78.85
21.0,c,0,2,1,female,2,1,262.375
24.0,s,0,0,3,male,1,0,16.1
31.0,s,0,0,3,male,0,1,7.925
70.0,s,0,1,1,male,1,0,71.0
16.0,s,0,1,3,male,1,0,20.25
30.0,s,0,0,2,female,0,1,13.0
19.0,s,0,0,1,male,1,0,53.1
31.0,q,0,0,3,male,0,0,7.75
4.0,s,1,1,2,female,1,1,23.0
6.0,s,1,1,3,male,0,1,12.475
33.0,s,0,0,3,male,0,0,9.5
23.0,s,0,0,3,male,0,0,7.8958
48.0,s,0,2,2,female,1,1,65.0
0.67,s,1,1,2,male,1,1,14.5
28.0,s,0,0,3,male,0,0,7.7958
33.0,s,0,0,1,female,0,1,86.5
41.0,s,0,0,3,male,0,0,7.125
20.0,c,0,0,3,male,0,1,7.2292
36.0,s,0,2,1,female,1,1,120.0
16.0,s,0,0,3,male,0,0,7.775
51.0,s,0,0,1,female,1,1,77.9583
28.0,c,0,0,1,male,0,0,39.6
30.5,q,0,0,3,female,0,0,7.75
28.0,q,0,0,3,male,1,0,24.15
32.0,s,0,0,3,male,0,0,8.3625
24.0,s,0,0,3,male,0,0,9.5
48.0,s,0,0,3,male,0,0,7.8542
57.0,s,0,0,2,female,0,0,10.5
54.0,s,0,3,2,female,1,1,23.0
18.0,s,0,0,3,male,0,0,7.75
5.0,s,1,0,3,female,0,1,12.475
28.0,q,0,0,3,male,0,0,7.7375
43.0,s,0,1,1,female,0,1,211.3375
13.0,c,0,0,3,female,0,1,7.2292
17.0,s,0,0,1,female,1,1,57.0
29.0,s,0,0,1,male,0,0,30.0
28.0,s,0,2,3,male,1,0,23.45
25.0,s,0,0,3,male,0,0,7.05
25.0,s,0,0,3,male,0,0,7.25
18.0,s,0,0,3,female,0,1,7.4958
8.0,q,1,1,3,male,4,0,29.125
1.0,s,1,2,3,male,1,1,20.575
46.0,c,0,0,1,male,0,0,79.2
16.0,s,0,0,2,male,0,0,26.0
28.0,c,0,0,1,male,0,0,30.6958
25.0,s,0,0,3,male,0,0,7.8958
39.0,s,0,0,2,male,0,0,13.0
49.0,s,0,0,1,female,0,1,25.9292
31.0,s,0,0,3,female,0,1,8.6833
30.0,c,0,0,3,male,0,0,7.2292
30.0,s,0,1,3,female,1,0,24.15
31.0,s,0,1,2,female,1,1,26.25
11.0,s,1,2,1,male,1,1,120.0
0.42,c,1,1,3,male,0,1,8.5167
27.0,s,0,0,3,male,0,1,6.975
31.0,s,0,0,3,male,0,0,7.775
39.0,s,0,0,1,male,0,0,0.0
18.0,s,0,0,3,female,0,0,7.775
33.0,s,0,0,1,female,1,1,53.1
26.0,s,0,0,3,male,0,0,7.8875
39.0,s,0,0,3,male,0,0,24.15
35.0,s,0,0,2,male,0,0,10.5
6.0,s,1,2,3,female,4,0,31.275
30.5,s,0,0,3,male,0,0,8.05
23.0,s,0,0,3,female,0,0,7.925
31.0,c,0,1,2,male,1,0,37.0042
43.0,s,0,0,3,male,0,0,6.45
10.0,s,1,2,3,male,3,0,27.9
52.0,s,0,1,1,female,1,1,93.5
27.0,s,0,0,3,male,0,1,8.6625
38.0,s,0,0,1,male,0,0,0.0
27.0,s,0,1,3,female,0,1,12.475
2.0,s,1,1,3,male,4,0,39.6875
28.0,q,0,0,3,male,0,0,6.95
1.0,c,1,2,2,male,0,1,37.0042
28.0,q,0,0,3,male,0,1,7.75
62.0,s,0,0,1,female,0,1,80.0
15.0,c,0,0,3,female,1,1,14.4542
0.83,s,1,1,2,male,1,1,18.75
23.0,s,0,0,3,male,0,0,7.8542
18.0,s,0,0,3,male,0,0,8.3
39.0,c,0,1,1,female,1,1,83.1583
21.0,s,0,0,3,male,0,0,8.6625
28.0,c,0,0,1,male,0,1,29.7
20.0,s,0,0,3,male,0,0,7.925
16.0,s,0,0,2,male,0,0,10.5
30.0,c,0,0,1,female,0,1,31.0
34.5,c,0,0,3,male,0,0,6.4375
42.0,s,0,0,3,male,0,0,7.55
35.0,c,0,0,3,male,0,0,7.8958
28.0,s,0,1,2,male,0,0,33.0
28.0,c,0,0,1,female,1,1,89.1042
4.0,s,1,2,3,male,4,0,31.275
74.0,s,0,0,3,male,0,0,7.775
9.0,c,1,1,3,female,1,0,15.2458
16.0,s,0,1,1,female,0,1,39.4
44.0,s,0,0,2,female,1,0,26.0
18.0,s,0,1,3,female,0,1,9.35
45.0,s,0,1,1,female,1,1,164.8667
51.0,s,0,0,1,male,0,1,26.55
24.0,c,0,3,3,female,0,1,19.2583
41.0,s,0,0,3,male,2,0,14.1083
21.0,s,0,0,2,male,1,0,11.5
48.0,s,0,0,1,female,0,1,25.9292
24.0,s,0,0,2,male,0,0,13.0
42.0,s,0,0,2,female,0,1,13.0
27.0,c,0,0,2,female,1,1,13.8583
31.0,s,0,0,1,male,0,0,50.4958
4.0,s,1,1,3,male,1,1,11.1333
47.0,s,0,1,1,female,1,1,52.5542
33.0,s,0,0,1,male,0,0,5.0
47.0,s,0,0,3,male,0,0,9.0
28.0,c,0,0,2,female,1,1,24.0
15.0,c,0,0,3,female,0,1,7.225
20.0,s,0,0,3,male,0,0,9.8458
56.0,c,0,1,1,female,0,1,83.1583
25.0,s,0,1,2,female,0,1,26.0
33.0,s,0,0,3,male,0,0,7.8958
22.0,s,0,0,3,female,0,0,10.5167
28.0,s,0,0,2,male,0,0,10.5
39.0,q,0,5,3,female,0,0,29.125
19.0,s,0,0,1,female,0,1,30.0
28.0,s,0,2,3,female,1,0,23.45
26.0,c,0,0,1,male,0,1,30.0
32.0,q,0,0,3,male,0,0,7.75
